PROCESSNAME,REFERENCEFLOW,LOCATION,CATEGORY,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5
"Process energy, for product manufacturing from Lead Bullion, using 100% recycled inputs","Process energy, for product manufacturing from Lead Bullion, using 100% recycled inputs",United States,100% Recycled inputs,Process energy,Utilities,NULL,NULL
"Process energy, for product manufacturing from Ag Gypsum, using 100% recycled inputs","Process energy, for product manufacturing from Ag Gypsum, using 100% recycled inputs",United States,100% Recycled inputs,Process energy,Utilities,NULL,NULL
"Process energy, for product manufacturing from Nylon 6-6 Pellets, using 100% virgin inputs","Process energy, for product manufacturing from Nylon 6-6 Pellets, using 100% virgin inputs",United States,100% Virgin inputs,Process energy,Utilities,NULL,NULL
"Transport, in product manufacturing from Steel Sheet, using 100% recycled inputs","Transport, in product manufacturing from Steel Sheet, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Asphalt, using 100% recycled inputs","Transport, in product manufacturing from Asphalt, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from CRT Glass, using 100% recycled inputs","Transport, in product manufacturing from CRT Glass, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Steel Sheet, using 100% virgin inputs","Transport, in product manufacturing from Steel Sheet, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Asphalt, using 100% virgin inputs","Transport, in product manufacturing from Asphalt, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Copper No. 1 Scrap, using 100% recycled inputs","Transport, in product manufacturing from Copper No. 1 Scrap, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Nylon 6-6 Pellets, using 100% virgin inputs","Transport, in product manufacturing from Nylon 6-6 Pellets, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Nylon 6-6 Fiber, using 100% virgin inputs","Transport, in product manufacturing from Nylon 6-6 Fiber, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Nylon 6-6 Fiber, using 100% recycled inputs","Transport, in product manufacturing from Nylon 6-6 Fiber, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Lead Bullion, using 100% recycled inputs","Transport, in product manufacturing from Lead Bullion, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Nylon 6 Fiber, using 100% recycled inputs","Transport, in product manufacturing from Nylon 6 Fiber, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Ag Gypsum, using 100% recycled inputs","Transport, in product manufacturing from Ag Gypsum, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Nylon 6 Fiber, using 100% virgin inputs","Transport, in product manufacturing from Nylon 6 Fiber, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Lead Bullion, using 100% virgin inputs","Transport, in product manufacturing from Lead Bullion, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Ag Gypsum, using 100% virgin inputs","Transport, in product manufacturing from Ag Gypsum, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Aluminum Sheet, using 100% virgin inputs","Transport, in product manufacturing from Aluminum Sheet, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Aluminum Sheet, using 100% recycled inputs","Transport, in product manufacturing from Aluminum Sheet, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from CRT Glass, using 100% virgin inputs","Transport, in product manufacturing from CRT Glass, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Nylon 6-6 Pellets, using 100% recycled inputs","Transport, in product manufacturing from Nylon 6-6 Pellets, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Copper, using 100% virgin inputs","Transport, in product manufacturing from Copper, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Asphalt Binder, using 100% virgin inputs","Transport, in product manufacturing from Asphalt Binder, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Copper No. 2 Scrap, using 100% recycled inputs","Transport, in product manufacturing from Copper No. 2 Scrap, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Product manufacturing, from PET fiber, using 100% recycled inputs","Product manufactured, from PET fiber, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,NULL,NULL,NULL
"Product manufacturing, from PP fiber, using 100% recycled inputs","Product manufactured, from PP fiber, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,NULL,NULL,NULL
"Process energy, for product manufacturing from PP fiber, using 100% recycled inputs","Process energy, for product manufacturing from PP fiber, using 100% recycled inputs",United States,100% Recycled inputs,Process energy,Utilities,NULL,NULL
"Process energy, for product manufacturing from PET fiber, using 100% recycled inputs","Process energy, for product manufacturing from PET fiber, using 100% recycled inputs",United States,100% Recycled inputs,Process energy,Utilities,NULL,NULL
"Transport, in product manufacturing from PET fiber, using 100% recycled inputs","Transport, in product manufacturing from PET fiber, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from PP fiber, using 100% recycled inputs","Transport, in product manufacturing from PP fiber, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Product manufacturing, from Drywall, using 100% recycled inputs","Product manufactured, from Drywall, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,NULL,NULL,NULL
"Process energy, for product manufacturing from Drywall, using 100% recycled inputs","Process energy, for product manufacturing from Drywall, using 100% recycled inputs",United States,100% Recycled inputs,Process energy,Utilities,NULL,NULL
"Transport, in product manufacturing from Drywall, using 100% recycled inputs","Transport, in product manufacturing from Drywall, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
"Product manufacturing, from PP, using 100% recycled inputs","Product manufactured, from PP, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,NULL,NULL,NULL
"Process energy, for product manufacturing from PP, using 100% recycled inputs","Process energy, for product manufacturing from PP, using 100% recycled inputs",United States,100% Recycled inputs,Process energy,Utilities,NULL,NULL
"Transport, in product manufacturing from PP, using 100% recycled inputs","Transport, in product manufacturing from PP, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,Transport,NULL,NULL
MSW recycling of PP,"PP, recycled",United States,Recycling,NULL,NULL,NULL,NULL
"Electricity generation, at grid (landfilling processes_National Average)","Electricity, at grid",NULL,Utilities,NULL,NULL,NULL,NULL
"Product manufacturing, from PET fiber, using 100% virgin inputs","Product manufactured, from PET fiber, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,NULL,NULL,NULL
"Product manufacturing, from PP fiber, using 100% virgin inputs","Product manufactured, from PP fiber, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,NULL,NULL,NULL
"Transport, in product manufacturing from PP fiber, using 100% virgin inputs","Transport, in product manufacturing from PP fiber, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from PET fiber, using 100% virgin inputs","Transport, in product manufacturing from PET fiber, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Process energy, for product manufacturing from PET fiber, using 100% virgin inputs","Process energy, for product manufacturing from PET fiber, using 100% virgin inputs",United States,100% Virgin inputs,Process energy,Utilities,NULL,NULL
"Process energy, for product manufacturing from PP fiber, using 100% virgin inputs","Process energy, for product manufacturing from PP fiber, using 100% virgin inputs",United States,100% Virgin inputs,Process energy,Utilities,NULL,NULL
"Product manufacturing, from Fruits and Vegetables, using 100% virgin inputs (Energy)","Product manufactured, from Fruits and Vegetables, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,NULL,NULL,NULL
MSW recycling of Carpet (Energy),"Carpet, recycled",United States,Recycling,NULL,NULL,NULL,NULL
MSW recycling of Aluminum Ingot (Energy),"Aluminum Ingot, recycled",United States,Recycling,NULL,NULL,NULL,NULL
"Product manufacturing, from Nylon 6 Fiber, using 100% recycled inputs (Energy)","Product manufactured, from Nylon 6 Fiber, using 100% recycled inputs",United States,100% Recycled inputs,Product manufacturing,NULL,NULL,NULL
MSW recycling of Tires (Energy),"Tires, recycled",United States,Recycling,NULL,NULL,NULL,NULL
"Product manufacturing, from Nylon 6 Fiber, using 100% virgin inputs (Energy)","Product manufactured, from Nylon 6 Fiber, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,NULL,NULL,NULL
MSW recycling of Aluminum Cans (Energy),"Aluminum Cans, recycled",United States,Recycling,NULL,NULL,NULL,NULL
MSW combustion of Mixed MSW (Energy),"Mixed MSW, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Beef,"Beef, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Poultry,"Poultry, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Food Waste (meat only),"Food Waste (meat only), combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW composting of Beef,"Beef, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Poultry,"Poultry, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Food Waste (meat only),"Food Waste (meat only), composted",NULL,Composting,NULL,NULL,NULL,NULL
"Beef, alternative scenario","Beef, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Poultry, alternative scenario","Poultry, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Food Waste (meat only), alternative scenario","Food Waste (meat only), alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Beef, baseline scenario","Beef, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Poultry, baseline scenario","Poultry, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Food Waste (meat only), baseline scenario","Food Waste (meat only), baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Transport, in product manufacturing from Beef, using 100% virgin inputs","Transport, in product manufacturing from Beef, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Transport, in product manufacturing from Poultry, using 100% virgin inputs","Transport, in product manufacturing from Poultry, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,Transport,NULL,NULL
"Process energy, for product manufacturing from Beef, using 100% virgin inputs","Process energy, for product manufacturing from Beef, using 100% virgin inputs",United States,100% Virgin inputs,Process energy,Utilities,NULL,NULL
"Process energy, for product manufacturing from Poultry, using 100% virgin inputs","Process energy, for product manufacturing from Poultry, using 100% virgin inputs",United States,100% Virgin inputs,Process energy,Utilities,NULL,NULL
"Product manufacturing, from Beef, using 100% virgin inputs","Product manufactured, from Beef, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,NULL,NULL,NULL
"Product manufacturing, from Poultry, using 100% virgin inputs","Product manufactured, from Poultry, using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,NULL,NULL,NULL
"Product manufacturing, from Food Waste (meat only), using 100% virgin inputs","Product manufactured, from Food Waste (meat only), using 100% virgin inputs",United States,100% Virgin inputs,Product manufacturing,NULL,NULL,NULL
MSW source reduction of Beef,"Beef, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Poultry,"Poultry, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Food Waste (meat only),"Food Waste (meat only), source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
"MSW landfilling of Beef; National average LFG recovery, typical collection, dry conditions (k=0.02)","Beef, landfilled",United States,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Beef; LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Beef, landfilled",United States,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Beef, landfilled",United States,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Food Waste (meat only), landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Poultry, landfilled",United States,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Food Waste (meat only), landfilled",United States,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Beef, landfilled",United States,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); National average LFG recovery, typical collection, wet conditions (k=0.06)","Food Waste (meat only), landfilled",United States,Wet conditions (k=0.06),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Poultry; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Poultry, landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Poultry, landfilled",United States,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Food Waste (meat only), landfilled",United States,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Food Waste (meat only), landfilled",United States,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; National average LFG recovery, typical collection, wet conditions (k=0.06)","Beef, landfilled",United States,Wet conditions (k=0.06),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Beef; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Beef, landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Food Waste (meat only), landfilled",United States,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, California regulatory collection, National average conditions","Poultry, landfilled",United States,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Beef, landfilled",United States,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, typical collection, bioreactor (k=0.12)","Food Waste (meat only), landfilled",United States,Bioreactor (k=0.12),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; National average LFG recovery, typical collection, moderate conditions (k=0.04)","Beef, landfilled",United States,Moderate conditions (k=0.04),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Food Waste (meat only); LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Food Waste (meat only), landfilled",United States,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Poultry, landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); no LFG recovery, typical collection, National average conditions","Food Waste (meat only), landfilled",United States,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Food Waste (meat only); LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Food Waste (meat only), landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, California regulatory collection, dry conditions (k=0.02)","Poultry, landfilled",United States,Dry conditions (k=0.02),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Beef, landfilled",United States,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Poultry, landfilled",United States,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, typical collection, wet conditions (k=0.06)","Beef, landfilled",United States,Wet conditions (k=0.06),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Poultry; National average LFG recovery, typical collection, wet conditions (k=0.06)","Poultry, landfilled",United States,Wet conditions (k=0.06),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Beef; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Beef, landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Beef, landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Food Waste (meat only), landfilled",United States,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Food Waste (meat only), landfilled",United States,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Beef, landfilled",United States,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Poultry, landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, California regulatory collection, National average conditions","Food Waste (meat only), landfilled",United States,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, aggressive collection, bioreactor (k=0.12)","Poultry, landfilled",United States,Bioreactor (k=0.12),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; no LFG recovery, typical collection, National average conditions","Poultry, landfilled",United States,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Beef; National average LFG recovery, typical collection, National average conditions","Beef, landfilled",United States,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Poultry; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Poultry, landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Poultry, landfilled",United States,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Food Waste (meat only), landfilled",United States,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, typical collection, moderate conditions (k=0.04)","Beef, landfilled",United States,Moderate conditions (k=0.04),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Beef, landfilled",United States,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, worst-case collection, National average conditions","Poultry, landfilled",United States,National Average,Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Poultry, landfilled",United States,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; no LFG recovery, typical collection, National average conditions","Beef, landfilled",United States,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Beef; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Beef, landfilled",United States,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, worst-case collection, National average conditions","Beef, landfilled",United States,National Average,Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, typical collection, bioreactor (k=0.12)","Beef, landfilled",United States,Bioreactor (k=0.12),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Poultry, landfilled",United States,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Beef, landfilled",United States,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Food Waste (meat only), landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, aggressive collection, bioreactor (k=0.12)","Food Waste (meat only), landfilled",United States,Bioreactor (k=0.12),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, aggressive collection, wet conditions (k=0.06)","Poultry, landfilled",United States,Wet conditions (k=0.06),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); National average LFG recovery, typical collection, moderate conditions (k=0.04)","Food Waste (meat only), landfilled",United States,Moderate conditions (k=0.04),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Food Waste (meat only), landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Food Waste (meat only), landfilled",United States,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Poultry, landfilled",United States,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Beef, landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Poultry, landfilled",United States,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Food Waste (meat only), landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, aggressive collection, National average conditions","Poultry, landfilled",United States,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Beef, landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); National average LFG recovery, typical collection, National average conditions","Food Waste (meat only), landfilled",United States,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Food Waste (meat only); LFG recovery and flaring, aggressive collection, wet conditions (k=0.06)","Food Waste (meat only), landfilled",United States,Wet conditions (k=0.06),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, aggressive collection, wet conditions (k=0.06)","Beef, landfilled",United States,Wet conditions (k=0.06),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, aggressive collection, dry conditions (k=0.02)","Beef, landfilled",United States,Dry conditions (k=0.02),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, aggressive collection, National average conditions","Beef, landfilled",United States,National Average,Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and flaring, California regulatory collection, National average conditions","Food Waste (meat only), landfilled",United States,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, aggressive collection, National average conditions","Poultry, landfilled",United States,National Average,Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and electricity generation, typical collection, National average conditions","Poultry, landfilled",United States,National Average,Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, typical collection, moderate conditions (k=0.04)","Poultry, landfilled",United States,Moderate conditions (k=0.04),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, aggressive collection, National average conditions","Beef, landfilled",United States,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Food Waste (meat only), landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Beef, landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Poultry, landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Poultry; LFG recovery and flaring, worst-case collection, wet conditions (k=0.06)","Poultry, landfilled",United States,Wet conditions (k=0.06),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Beef; LFG recovery and flaring, worst-case collection, bioreactor (k=0.12)","Beef, landfilled",United States,Bioreactor (k=0.12),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Food Waste (meat only), landfilled",United States,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (meat only); LFG recovery and electricity generation, aggressive collection, National average conditions","Food Waste (meat only), landfilled",United States,National Average,Aggressive collection,Energy production,LFG recovery,Landfilling
